task_type,session_name,run_dir,model_name,size,shortlisted,recommended
classification,onnxrt,cl-6480_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_20210429_onnx,ONR-CL-6480-mobv3-lite-small,9601196,True,False
classification,onnxrt,cl-6488_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_qat-p2_20210429_onnx,ONR-CL-6488-mobv3-lite-small-qat,8964499,True,False
classification,onnxrt,cl-6490_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_large_20210507_onnx,ONR-CL-6490-mobv3-lite-large,18201600,True,False
classification,onnxrt,cl-6500_onnxrt_imagenet1k_edgeai-tv2_mobilenet_v2_lite_wt-v2_20231101_model_onnx,ONR-CL-6500-mobileNetV2-lite-wtv2-224,16574132,False,False
classification,onnxrt,cl-6510_onnxrt_imagenet1k_edgeai-tv2_mobilenet_v3_large_lite_wt-v2_20231011_model_onnx,ONR-CL-6510-mobileNetV3-large-lite-wtv2-224,18295766,False,False
classification,onnxrt,cl-6530_onnxrt_imagenet1k_edgeai-tv2_resnet50_lite_wt-v2_20230919_onnx,ONR-CL-6530-resNet50-wtv2-224,116426937,False,False
classification,onnxrt,cl-6540_onnxrt_imagenet1k_edgeai-tv2_resnet101_lite_wt-v2_20230919_onnx,ONR-CL-6540-resNet101-wtv2-224,203323055,False,False
classification,onnxrt,cl-6550_onnxrt_imagenet1k_edgeai-tv2_resnext50_32x4d_lite_wt-v2_20230920_onnx,ONR-CL-6550-resNeXt50-32x4d-wtv2-224,114408454,False,False
classification,onnxrt,cl-6560_onnxrt_imagenet1k_edgeai-tv2_resnext101_32x8d_lite_wt-v2_20230920_onnx,ONR-CL-6560-resNeXt101-32x8d-wtv2-224,404183104,False,False
classification,onnxrt,cl-6570_onnxrt_imagenet1k_edgeai-tv2_regnet_x_1_6gf_lite_wt-v2_20230920_onnx,ONR-CL-6570-regNetX-1.6gf-wtv2-224,42293582,False,False
classification,onnxrt,cl-6580_onnxrt_imagenet1k_edgeai-tv2_regnet_x_400mf_lite_wt-v2_20230920_onnx,ONR-CL-6580-regNetX-400mf-wtv2-224,25630834,False,False
classification,onnxrt,cl-6590_onnxrt_imagenet1k_edgeai-tv2_regnet_x_800mf_lite_wt-v2_20230920_onnx,ONR-CL-6590-regNetX-800mf-wtv2-224,33527515,False,False
classification,onnxrt,cl-6720_onnxrt_imagenet1k_hf-transformers_deit_tiny_patch16_224_simp_onnx,ONR-CL-6720-DeiT-tiny-patch16-transformer-224,27282896,False,False
detection,tflitert,od-2000_tflitert_coco_mlperf_ssd_mobilenet_v1_coco_20180128_tflite,TFL-OD-2000-ssd-mobV1-coco-mlperf-300x300,31390801,True,False
detection,tflitert,od-2010_tflitert_coco_mlperf_ssd_mobilenet_v2_300_float_tflite,TFL-OD-2010-ssd-mobV2-coco-mlperf-300x300,74663315,True,False
detection,tflitert,od-2020_tflitert_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TFL-OD-2020-ssdLite-mobDet-DSP-coco-320x320,33458353,True,True
detection,tflitert,od-2030_tflitert_coco_tf1-models_ssdlite_mobiledet_edgetpu_320x320_coco_20200519_tflite,TFL-OD-2030-ssdLite-mobDet-EdgeTPU-coco-320x320,19763531,True,False
detection,tflitert,od-2150_tflitert_coco_google-automl_efficientdet_lite1_relu_tflite,TFL-OD-2150-efficientDet-lite1-relu-coco-384x384,22285702,False,False
detection,tvmdlr,od-5120_tvmdlr_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TVM-OD-5120-ssdLite-mobDet-DSP-coco-320x320,90935131,True,True
detection,onnxrt,od-8020_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_lite_512x512_20201214_model_onnx,ONR-OD-8020-ssd-lite-mobv2-mmdet-coco-512x512,15242619,True,True
detection,onnxrt,od-8040_onnxrt_coco_edgeai-mmdet_ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model_onnx,ONR-OD-8040-ssd-lite-regNetX-200mf-fpn-bgr-mmdet-coco-320x320,10288051,True,False
detection,onnxrt,od-8200_onnxrt_coco_edgeai-mmdet_yolox_nano_lite_416x416_20220214_model_onnx,ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416,10670947,True,True
detection,onnxrt,od-8210_onnxrt_coco_edgeai-mmdet_yolox_tiny_lite_416x416_20220217_model_onnx,ONR-OD-8210-yolox-tiny-lite-mmdet-coco-416x416,23513478,True,False
detection,onnxrt,od-8220_onnxrt_coco_edgeai-mmdet_yolox_s_lite_640x640_20220221_model_onnx,ONR-OD-8220-yolox-s-lite-mmdet-coco-640x640,41321734,True,True
detection,onnxrt,od-8270_onnxrt_coco_edgeai-mmdet_yolox_pico_lite_320x320_20230410_model_onnx,ONR-OD-8270-yolox-pico-lite-mmdet-coco-320x320,6140348,True,True
detection,onnxrt,od-8410_onnxrt_widerface_edgeai-mmdet_yolox_tiny_lite_416x416_20220318_model_onnx,ONR-OD-8410-yolox-tiny-lite-mmdet-widerface-416x416,23375580,True,True
detection,onnxrt,od-8420_onnxrt_widerface_edgeai-mmdet_yolox_s_lite_640x640_20220307_model_onnx,ONR-OD-8420-yolox-s-lite-mmdet-widerface-640x640,41699108,True,True
detection,onnxrt,od-8920_onnxrt_coco_hf-transformers_detr_fb_resnet50_800x800_simp_onnx,ONR-OD-8920-DETR-fb-resnet50-transformer-coco-800x800,192198713,False,False
detection,onnxrt,od-8950_onnxrt_coco_mmdet_centernet_r18_crop512_onnx,ONR-OD-8950-CenterNet-r18-coco-672x448,64609109,False,False
keypoint_detection,onnxrt,kd-7060_onnxrt_coco_edgeai-yolox_yolox_s_pose_ti_lite_640_20220301_model_onnx,ONR-KD-7060-human-pose-yolox-s-640x640,46593651,True,True
object_6d_pose_estimation,onnxrt,6dpose-7200_onnxrt_ycbv_edgeai-yolox_yolox_s_object_pose_ti_lite_640x480_57p75_onnx,ONR-6DPOSE-7200-yolox-s-6d-object_pose-640x480,54133922,True,False
segmentation,tflitert,ss-2580_tflitert_ade20k32_mlperf_deeplabv3_mnv2_ade20k32_float_tflite,TFL-SS-2580-deeplabv3_mobv2-ade20k32-mlperf-512x512,10962610,True,True
segmentation,tvmdlr,ss-5710_tvmdlr_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,TVM-SS-5710-deeplabv3lite-mobv2-cocoseg21-512x512,32075476,True,True
segmentation,onnxrt,ss-7618_onnxrt_ti-robokit_edgeai-tv_deeplabv3plus_mnetv2_edgeailite_robokit_768x432_qat-p2_onnx,ONR-SS-7618-deeplabv3lite-mobv2-qat-robokit-768x432,5544465,True,True
segmentation,onnxrt,ss-8610_onnxrt_ade20k32_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4_onnx,ONR-SS-8610-deeplabv3lite-mobv2-ade20k32-512x512,11960070,True,True
segmentation,onnxrt,ss-8630_onnxrt_ade20k32_edgeai-tv_unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2_onnx,ONR-SS-8630-unetlite-aspp-mobv2-tv-ade20k32-512x512,12241751,True,False
segmentation,onnxrt,ss-8650_onnxrt_ade20k32_edgeai-tv_fpn_aspp_mobilenetv2_edgeailite_512x512_20210306_outby4_onnx,ONR-SS-8650-fpnlite-aspp-mobv2-ade20k32-512x512,13179219,False,False
segmentation,onnxrt,ss-8670_onnxrt_ade20k32_edgeai-tv_fpn_aspp_mobilenetv2_1p4_edgeailite_512x512_20210307_outby4_onnx,ONR-SS-8670-fpnlite-aspp-mobv2-1p4-ade20k32-512x512,24991329,False,False
segmentation,onnxrt,ss-8690_onnxrt_ade20k32_edgeai-tv_fpn_aspp_regnetx400mf_edgeailite_384x384_20210314_outby4_onnx,ONR-SS-8690-fpnlite-aspp-regnetx400mf-ade20k32-384x384,28305567,False,False
segmentation,onnxrt,ss-8700_onnxrt_ade20k32_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210312_outby4_onnx,ONR-SS-8700-fpnlite-aspp-regnetx800mf-ade20k32-512x512,38815520,False,False
segmentation,onnxrt,ss-8710_onnxrt_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,ONR-SS-8710-deeplabv3lite-mobv2-cocoseg21-512x512,11907238,True,False
segmentation,onnxrt,ss-8720_onnxrt_cocoseg21_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210405_onnx,ONR-SS-8720-deeplabv3lite-regnetx800mf-cocoseg21-512x512,38757848,True,False
segmentation,onnxrt,ss-8730_onnxrt_cocoseg21_edgeai-tv_deeplabv3_mobilenet_v3_large_lite_512x512_20210527_onnx,ONR-SS-8730-deeplabv3-mobv3-lite-large-cocoseg21-512x512,42012497,False,False
segmentation,onnxrt,ss-8740_onnxrt_cocoseg21_edgeai-tv_lraspp_mobilenet_v3_large_lite_512x512_20210527_onnx,ONR-SS-8740-lraspp-mobV3-ti-lite-large-cocoseg21-512x512,8246614,True,False
segmentation,onnxrt,ss-8750_onnxrt_ade20k_hf-transformers_segformer_b0_finetuned_ade_512_512_simp_onnx,ONR-SS-8750-segformerB0-transformer-ade-512x512,18197363,False,False
visual_localization,onnxrt,visloc-7500_onnxrt_carla_edgeai-tv_tiad_dkaze_carla_768x384_model_onnx,ONR-VISLOC-7500-tiad-dkaze-carla-768x384,5462969,False,False
